platform,video_id,channel_id,channel_name,title,description,published_at,duration_seconds,view_count,like_count,comment_count,share_count,tags,ingested_at,data_source_type,full_content_text,extracted_hashtags,cleaned_text,tokens,token_count,clean_tokens,clean_token_count,clean_text_final
tiktok,tt_7668335266507001120,beyer.hunter,@Beyer Hunter,Cops arrested Rayleigh,Cops arrested Rayleigh,2026-07-30 14:57:19+00:00,6,10008885,772873,11808,50599,"['tiktok', 'fyp', 'viral', 'id']",2026-09-20 14:13:08.752257+00:00,TIKTOK_LIVE_FYP_FEED,Cops arrested Rayleigh Cops arrested Rayleigh,,cops arrested rayleigh cops arrested rayleigh,"cops, arrested, rayleigh, cops, arrested, rayleigh",6,"cops, arrested, rayleigh, cops, arrested, rayleigh",6,cops arrested rayleigh cops arrested rayleigh
tiktok,tt_7669132960917998869,.aaapaathy,@️,Trending TikTok Short,Trending TikTok Short,2026-08-01 18:32:58+00:00,8,61744705,16595794,57848,1775725,"['tiktok', 'fyp', 'viral', 'id']",2026-09-20 14:14:04.954727+00:00,TIKTOK_LIVE_FYP_FEED,Trending TikTok Short Trending TikTok Short,,trending tiktok short trending tiktok short,"trending, tiktok, short, trending, tiktok, short",6,"trending, tiktok, short, trending, tiktok, short",6,trending tiktok short trending tiktok short
tiktok,tt_7661239207683181844,saimaaringedseal,@saimaa,I sealously love you #seal #loveyou #creatorsearchinsights #seacreature #Love seal seal seal seal seal seal seal seal se,I sealously love you #seal #loveyou #creatorsearchinsights #seacreature #Love seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal se,2026-07-11 12:01:00+00:00,9,1613207,152556,5681,42333,"['seal', 'loveyou', 'creatorsearchinsights', 'seacreature', 'Love']",2026-09-20 14:14:04.954727+00:00,TIKTOK_LIVE_FYP_FEED,I sealously love you #seal #loveyou #creatorsearchinsights #seacreature #Love seal seal seal seal seal seal seal seal se I sealously love you #seal #loveyou #creatorsearchinsights #seacreature #Love seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal se,"seal, loveyou, creatorsearchinsights, seacreature, love, seal, loveyou, creatorsearchinsights, seacreature, love",i sealously love you seal loveyou creatorsearchinsights seacreature love seal seal seal seal seal seal seal seal se i sealously love you seal loveyou creatorsearchinsights seacreature love seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal se,"sealously, love, you, seal, loveyou, creatorsearchinsights, seacreature, love, seal, seal, seal, seal, seal, seal, seal, seal, se, sealously, love, you, seal, loveyou, creatorsearchinsights, seacreature, love, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, se",70,"sealously, love, seal, loveyou, creatorsearchinsights, seacreature, love, seal, seal, seal, seal, seal, seal, seal, seal, sealously, love, seal, loveyou, creatorsearchinsights, seacreature, love, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal, seal",66,sealously love seal loveyou creatorsearchinsights seacreature love seal seal seal seal seal seal seal seal sealously love seal loveyou creatorsearchinsights seacreature love seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal seal
tiktok,tt_7668197107773345031,adull.ih,@adull ihh,#foryoupage #fypp,#foryoupage #fypp,2026-07-30 06:01:16+00:00,11,4283511,874113,1347,55360,"['foryoupage', 'fypp']",2026-09-20 14:14:04.954727+00:00,TIKTOK_LIVE_FYP_FEED,#foryoupage #fypp #foryoupage #fypp,"foryoupage, fypp, foryoupage, fypp",foryoupage fypp foryoupage fypp,"foryoupage, fypp, foryoupage, fypp",4,"foryoupage, fypp, foryoupage, fypp",4,foryoupage fypp foryoupage fypp
tiktok,tt_7659288795015105799,studentvlogger17,@charisse,Lets goo Japannn HAHAHAHAHA #fyp #japan #livinginjapan #foryou #student,Lets goo Japannn HAHAHAHAHA #fyp #japan #livinginjapan #foryou #student,2026-07-06 05:52:33+00:00,31,3378526,529583,793,11698,"['fyp', 'japan', 'livinginjapan', 'foryou', 'student']",2026-09-20 14:14:04.954727+00:00,TIKTOK_LIVE_FYP_FEED,Lets goo Japannn HAHAHAHAHA #fyp #japan #livinginjapan #foryou #student Lets goo Japannn HAHAHAHAHA #fyp #japan #livinginjapan #foryou #student,"fyp, japan, livinginjapan, foryou, student, fyp, japan, livinginjapan, foryou, student",lets goo japannn hahahahaha fyp japan livinginjapan foryou student lets goo japannn hahahahaha fyp japan livinginjapan foryou student,"lets, goo, japannn, hahahahaha, fyp, japan, livinginjapan, foryou, student, lets, goo, japannn, hahahahaha, fyp, japan, livinginjapan, foryou, student",18,"lets, goo, japannn, hahahahaha, fyp, japan, livinginjapan, foryou, student, lets, goo, japannn, hahahahaha, fyp, japan, livinginjapan, foryou, student",18,lets goo japannn hahahahaha fyp japan livinginjapan foryou student lets goo japannn hahahahaha fyp japan livinginjapan foryou student
tiktok,tt_7655933830787861780,sinar_my,@SINAR,"Terima kasih bang tolong kucing tu, semoga dipermudahkan urusan abang.😍 #SinarKongsi . Kredit tiktok nikmaziz01","Terima kasih bang tolong kucing tu, semoga dipermudahkan urusan abang.😍 #SinarKongsi . Kredit tiktok nikmaziz01",2026-06-27 04:53:34+00:00,33,998739,75642,452,22324,['SinarKongsi'],2026-09-20 14:14:04.954727+00:00,TIKTOK_LIVE_FYP_FEED,"Terima kasih bang tolong kucing tu, semoga dipermudahkan urusan abang.😍 #SinarKongsi . Kredit tiktok nikmaziz01 Terima kasih bang tolong kucing tu, semoga dipermudahkan urusan abang.😍 #SinarKongsi . Kredit tiktok nikmaziz01","sinarkongsi, sinarkongsi",terima kasih bang tolong kucing tu semoga dipermudahkan urusan abang sinarkongsi kredit tiktok nikmaziz01 terima kasih bang tolong kucing tu semoga dipermudahkan urusan abang sinarkongsi kredit tiktok nikmaziz01,"terima, kasih, bang, tolong, kucing, tu, semoga, dipermudahkan, urusan, abang, sinarkongsi, kredit, tiktok, terima, kasih, bang, tolong, kucing, tu, semoga, dipermudahkan, urusan, abang, sinarkongsi, kredit, tiktok",26,"terima, kasih, bang, tolong, kucing, tu, semoga, dipermudahkan, urusan, abang, sinarkongsi, kredit, tiktok, terima, kasih, bang, tolong, kucing, tu, semoga, dipermudahkan, urusan, abang, sinarkongsi, kredit, tiktok",26,terima kasih bang tolong kucing tu semoga dipermudahkan urusan abang sinarkongsi kredit tiktok terima kasih bang tolong kucing tu semoga dipermudahkan urusan abang sinarkongsi kredit tiktok
tiktok,tt_7673393975281143061,spillspace8,@SpillSpace.id,Sedikit tips and trik untuk para pemula #affiliate #affiliatemarketing #fyp #affiliatepemula #pejuangrupiah,Sedikit tips and trik untuk para pemula #affiliate #affiliatemarketing #fyp #affiliatepemula #pejuangrupiah,2026-08-13 06:07:42+00:00,10,1760179,103453,27974,14610,"['affiliate', 'affiliatemarketing', 'fyp', 'affiliatepemula', 'pejuangrupiah']",2026-09-20 14:14:04.954727+00:00,TIKTOK_LIVE_FYP_FEED,Sedikit tips and trik untuk para pemula #affiliate #affiliatemarketing #fyp #affiliatepemula #pejuangrupiah Sedikit tips and trik untuk para pemula #affiliate #affiliatemarketing #fyp #affiliatepemula #pejuangrupiah,"affiliate, affiliatemarketing, fyp, affiliatepemula, pejuangrupiah, affiliate, affiliatemarketing, fyp, affiliatepemula, pejuangrupiah",sedikit tips and trik untuk para pemula affiliate affiliatemarketing fyp affiliatepemula pejuangrupiah sedikit tips and trik untuk para pemula affiliate affiliatemarketing fyp affiliatepemula pejuangrupiah,"sedikit, tips, and, trik, untuk, para, pemula, affiliate, affiliatemarketing, fyp, affiliatepemula, pejuangrupiah, sedikit, tips, and, trik, untuk, para, pemula, affiliate, affiliatemarketing, fyp, affiliatepemula, pejuangrupiah",24,"tips, trik, untuk, pemula, affiliate, affiliatemarketing, fyp, affiliatepemula, pejuangrupiah, tips, trik, untuk, pemula, affiliate, affiliatemarketing, fyp, affiliatepemula, pejuangrupiah",18,tips trik untuk pemula affiliate affiliatemarketing fyp affiliatepemula pejuangrupiah tips trik untuk pemula affiliate affiliatemarketing fyp affiliatepemula pejuangrupiah
tiktok,tt_7674366181771431182,aijah_lifeinboulder,@aijah | life in BoCo⟡˖ ݁,I feel like every Filipino craves Sinigang when the weather is rainy & cozy🍲✨ #filipinofood #filipino #colorado #craving,I feel like every Filipino craves Sinigang when the weather is rainy & cozy🍲✨ #filipinofood #filipino #colorado #cravingsatisfied,2026-08-15 21:00:52+00:00,10,46868931,1786377,2699,91383,"['filipinofood', 'filipino', 'colorado', 'cravingsatisfied']",2026-09-20 14:14:04.954727+00:00,TIKTOK_LIVE_FYP_FEED,I feel like every Filipino craves Sinigang when the weather is rainy & cozy🍲✨ #filipinofood #filipino #colorado #craving I feel like every Filipino craves Sinigang when the weather is rainy & cozy🍲✨ #filipinofood #filipino #colorado #cravingsatisfied,"filipinofood, filipino, colorado, craving, filipinofood, filipino, colorado, cravingsatisfied",i feel like every filipino craves sinigang when the weather is rainy cozy filipinofood filipino colorado craving i feel like every filipino craves sinigang when the weather is rainy cozy filipinofood filipino colorado cravingsatisfied,"feel, like, every, filipino, craves, sinigang, when, the, weather, is, rainy, cozy, filipinofood, filipino, colorado, craving, feel, like, every, filipino, craves, sinigang, when, the, weather, is, rainy, cozy, filipinofood, filipino, colorado, cravingsatisfied",32,"feel, like, every, filipino, craves, sinigang, weather, rainy, cozy, filipinofood, filipino, colorado, craving, feel, like, every, filipino, craves, sinigang, weather, rainy, cozy, filipinofood, filipino, colorado, cravingsatisfied",26,feel like every filipino craves sinigang weather rainy cozy filipinofood filipino colorado craving feel like every filipino craves sinigang weather rainy cozy filipinofood filipino colorado cravingsatisfied
tiktok,tt_7659381507781381397,dimasgarrr,@•Genk,PART 1 #fyp #lucu,PART 1 #fyp #lucu,2026-07-06 11:52:13+00:00,59,18821775,441394,2231,33884,"['fyp', 'lucu']",2026-09-20 14:14:04.954727+00:00,TIKTOK_LIVE_FYP_FEED,PART 1 #fyp #lucu PART 1 #fyp #lucu,"fyp, lucu, fyp, lucu",part 1 fyp lucu part 1 fyp lucu,"part, fyp, lucu, part, fyp, lucu",6,"part, fyp, lucu, part, fyp, lucu",6,part fyp lucu part fyp lucu
tiktok,tt_7658545630045818133,picaleva,@Picaleva,Trending TikTok Short,Trending TikTok Short,2026-07-04 05:48:36+00:00,9,12865262,1481106,9226,429372,"['tiktok', 'fyp', 'viral', 'id']",2026-09-20 14:14:04.954727+00:00,TIKTOK_LIVE_FYP_FEED,Trending TikTok Short Trending TikTok Short,,trending tiktok short trending tiktok short,"trending, tiktok, short, trending, tiktok, short",6,"trending, tiktok, short, trending, tiktok, short",6,trending tiktok short trending tiktok short
